src_ip,dst_ip,src_port,dst_port,protocol,length,is_syn,timestamp
10.100.102.12,31.13.86.51,62137,443,17,71,0,2026-08-13T16:43:52.969112
31.13.86.51,10.100.102.12,443,62137,17,90,0,2026-08-13T16:43:52.969275
10.100.102.3,10.100.102.255,9431,9431,17,116,0,2026-08-13T16:43:52.969299
93.123.102.190,10.100.102.12,443,60907,6,265,0,2026-08-13T16:43:52.969391
10.100.102.12,93.123.102.190,60907,443,6,66,0,2026-08-13T16:43:52.969411
93.123.102.190,10.100.102.12,443,60907,6,533,0,2026-08-13T16:43:52.969442
10.100.102.12,93.123.102.190,60907,443,6,66,0,2026-08-13T16:43:52.969460
10.100.102.12,93.123.102.190,60907,443,6,54,0,2026-08-13T16:43:52.969475
93.123.102.190,10.100.102.12,443,60907,6,66,0,2026-08-13T16:43:52.969492
93.123.102.190,10.100.102.12,443,60907,6,865,0,2026-08-13T16:43:52.969507
10.100.102.12,93.123.102.190,60907,443,6,66,0,2026-08-13T16:43:52.969541
10.100.102.12,31.13.86.51,62137,443,17,71,0,2026-08-13T16:43:53.969520
10.100.102.3,10.100.102.255,9431,9431,17,116,0,2026-08-13T16:43:53.969573
142.250.75.138,10.100.102.12,443,50239,17,121,0,2026-08-13T16:43:53.969587
10.100.102.12,142.250.75.138,50239,443,17,75,0,2026-08-13T16:43:53.969600
31.13.86.51,10.100.102.12,443,62137,17,90,0,2026-08-13T16:43:53.969654
10.100.102.12,93.123.102.190,60907,443,6,54,0,2026-08-13T16:43:53.969679
10.100.102.12,10.100.102.1,8276,53,17,75,0,2026-08-13T16:43:53.969694
10.100.102.12,10.100.102.1,8906,53,17,75,0,2026-08-13T16:43:53.969707
10.100.102.12,10.100.102.1,47159,53,17,77,0,2026-08-13T16:43:53.969718
10.100.102.12,10.100.102.1,6129,53,17,77,0,2026-08-13T16:43:53.969808
10.100.102.1,10.100.102.12,53,8276,17,125,0,2026-08-13T16:43:53.969821
10.100.102.1,10.100.102.12,53,47159,17,127,0,2026-08-13T16:43:53.969833
10.100.102.1,10.100.102.12,53,8906,17,91,0,2026-08-13T16:43:53.969845
10.100.102.12,142.250.75.46,52113,443,17,1292,0,2026-08-13T16:43:53.969856
10.100.102.12,142.250.75.46,52113,443,17,1292,0,2026-08-13T16:43:53.969877
10.100.102.12,142.250.75.46,52113,443,17,120,0,2026-08-13T16:43:53.969890
10.100.102.1,10.100.102.12,53,6129,17,205,0,2026-08-13T16:43:53.969902
10.100.102.12,142.251.153.2,52275,443,17,1292,0,2026-08-13T16:43:53.969914
10.100.102.12,142.251.153.2,52275,443,17,1292,0,2026-08-13T16:43:53.969931
10.100.102.12,142.251.153.2,52275,443,17,1292,0,2026-08-13T16:43:53.969956
10.100.102.12,142.251.153.2,52275,443,17,123,0,2026-08-13T16:43:53.969969
142.250.75.46,10.100.102.12,443,52113,17,82,0,2026-08-13T16:43:53.969980
93.123.102.190,10.100.102.12,443,60907,6,66,0,2026-08-13T16:43:53.970039
142.250.75.46,10.100.102.12,443,52113,17,1292,0,2026-08-13T16:43:53.970052
142.251.153.2,10.100.102.12,443,52275,17,82,0,2026-08-13T16:43:53.970064
142.251.153.2,10.100.102.12,443,52275,17,82,0,2026-08-13T16:43:53.970076
142.251.153.2,10.100.102.12,443,52275,17,1292,0,2026-08-13T16:43:53.970087
142.251.153.2,10.100.102.12,443,52275,17,1292,0,2026-08-13T16:43:53.970098
10.100.102.12,142.250.75.46,52113,443,17,1292,0,2026-08-13T16:43:53.970110
10.100.102.12,142.251.153.2,52275,443,17,1292,0,2026-08-13T16:43:53.970132
142.250.75.46,10.100.102.12,443,52113,17,1292,0,2026-08-13T16:43:53.970147
142.251.153.2,10.100.102.12,443,52275,17,1292,0,2026-08-13T16:43:53.970166
10.100.102.12,142.250.75.46,52113,443,17,1292,0,2026-08-13T16:43:53.970179
10.100.102.12,142.251.153.2,52275,443,17,1292,0,2026-08-13T16:43:53.970190
142.250.75.46,10.100.102.12,443,52113,17,1292,0,2026-08-13T16:43:53.970201
142.251.153.2,10.100.102.12,443,52275,17,1292,0,2026-08-13T16:43:53.970212
142.250.75.46,10.100.102.12,443,52113,17,1292,0,2026-08-13T16:43:53.970224
142.250.75.46,10.100.102.12,443,52113,17,316,0,2026-08-13T16:43:53.970235
142.250.75.46,10.100.102.12,443,52113,17,67,0,2026-08-13T16:43:53.970247
142.250.75.46,10.100.102.12,443,52113,17,672,0,2026-08-13T16:43:53.970270
142.251.153.2,10.100.102.12,443,52275,17,1292,0,2026-08-13T16:43:53.970282
142.251.153.2,10.100.102.12,443,52275,17,330,0,2026-08-13T16:43:53.970294
142.251.153.2,10.100.102.12,443,52275,17,990,0,2026-08-13T16:43:53.970306
142.251.153.2,10.100.102.12,443,52275,17,67,0,2026-08-13T16:43:53.970324
10.100.102.12,142.250.75.46,52113,443,17,120,0,2026-08-13T16:43:53.970337
10.100.102.12,142.250.75.46,52113,443,17,73,0,2026-08-13T16:43:53.970348
10.100.102.12,142.251.153.2,52275,443,17,120,0,2026-08-13T16:43:53.970360
10.100.102.12,142.251.153.2,52275,443,17,73,0,2026-08-13T16:43:53.970371
