src_ip,dst_ip,src_port,dst_port,protocol,length,is_syn,timestamp
10.100.102.12,93.123.102.177,61576,443,6,54,0,2026-08-13T17:25:24.416355
10.100.102.12,136.243.65.17,61711,443,6,54,0,2026-08-13T17:25:24.416418
136.243.65.17,10.100.102.12,443,61711,6,66,0,2026-08-13T17:25:24.416430
10.100.102.12,93.123.102.177,61576,443,6,54,0,2026-08-13T17:25:24.416441
10.100.102.9,224.0.0.251,5353,5353,17,82,0,2026-08-13T17:25:24.416452
10.100.102.9,224.0.0.251,5353,5353,17,437,0,2026-08-13T17:25:24.416495
10.100.102.12,31.13.86.49,54639,5222,6,54,0,2026-08-13T17:25:24.416519
10.100.102.7,224.0.0.251,5353,5353,17,236,0,2026-08-13T17:25:24.416530
10.100.102.12,93.123.102.177,61576,443,6,54,0,2026-08-13T17:25:24.416547
31.13.86.49,10.100.102.12,5222,54639,6,66,0,2026-08-13T17:25:24.416558
93.123.102.177,10.100.102.12,443,61576,6,66,0,2026-08-13T17:25:24.416576
10.100.102.3,10.100.102.255,9431,9431,17,116,0,2026-08-13T17:25:24.416586
23.105.168.232,10.100.102.12,443,61573,6,90,0,2026-08-13T17:25:24.416596
10.100.102.12,23.105.168.232,61573,443,6,66,0,2026-08-13T17:25:24.416605
10.100.102.12,23.105.168.232,61573,443,6,94,0,2026-08-13T17:25:24.416614
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:24.416623
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:24.416633
10.100.102.12,136.243.65.17,61711,443,6,78,0,2026-08-13T17:25:24.416642
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:24.416651
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:24.416660
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:24.416679
10.100.102.7,10.100.102.12,5353,5353,17,86,0,2026-08-13T17:25:24.416689
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:24.416698
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:24.416708
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:24.416717
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:24.416734
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:24.416749
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:24.416760
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:24.416769
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:24.416778
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:24.416798
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:24.416808
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:24.416821
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:24.416836
10.100.102.12,10.100.102.1,60811,53,17,83,0,2026-08-13T17:25:24.416846
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:24.416855
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:24.416864
10.100.102.1,10.100.102.12,53,60811,17,99,0,2026-08-13T17:25:24.416873
10.100.102.12,31.13.86.51,54657,443,6,78,1,2026-08-13T17:25:24.416883
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:24.416892
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:24.416911
10.100.102.12,10.100.102.7,5353,5353,17,387,0,2026-08-13T17:25:24.416931
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:24.416941
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:24.416950
10.100.102.7,224.0.0.251,5353,5353,17,100,0,2026-08-13T17:25:24.416959
136.243.65.17,10.100.102.12,443,61711,6,639,0,2026-08-13T17:25:24.416976
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:24.416986
10.100.102.12,10.100.102.7,5353,5353,17,387,0,2026-08-13T17:25:24.417003
31.13.86.51,10.100.102.12,443,54657,6,74,1,2026-08-13T17:25:24.417025
10.100.102.12,31.13.86.51,54657,443,6,66,0,2026-08-13T17:25:24.417036
10.100.102.12,31.13.86.51,54657,443,6,1334,0,2026-08-13T17:25:24.417052
10.100.102.12,31.13.86.51,54657,443,6,337,0,2026-08-13T17:25:24.417066
23.105.168.232,10.100.102.12,443,61573,6,66,0,2026-08-13T17:25:24.417077
31.13.86.51,10.100.102.12,443,54657,6,78,0,2026-08-13T17:25:24.417087
31.13.86.51,10.100.102.12,443,54657,6,66,0,2026-08-13T17:25:24.417096
10.100.102.12,31.13.86.51,54657,443,6,1334,0,2026-08-13T17:25:24.417105
31.13.86.51,10.100.102.12,443,54657,6,1446,0,2026-08-13T17:25:24.417114
31.13.86.51,10.100.102.12,443,54657,6,1446,0,2026-08-13T17:25:24.417123
31.13.86.51,10.100.102.12,443,54657,6,815,0,2026-08-13T17:25:24.417132
10.100.102.12,31.13.86.51,54657,443,6,66,0,2026-08-13T17:25:24.417141
10.100.102.12,31.13.86.51,54657,443,6,66,0,2026-08-13T17:25:24.417160
93.123.102.177,10.100.102.12,443,61576,6,265,0,2026-08-13T17:25:24.417170
10.100.102.12,93.123.102.177,61576,443,6,66,0,2026-08-13T17:25:24.417180
10.100.102.12,31.13.86.51,54657,443,6,130,0,2026-08-13T17:25:24.417189
10.100.102.12,31.13.86.51,54657,443,6,478,0,2026-08-13T17:25:24.417198
10.100.102.12,31.13.86.51,54657,443,6,309,0,2026-08-13T17:25:24.417210
31.13.86.51,10.100.102.12,443,54657,6,66,0,2026-08-13T17:25:24.417219
31.13.86.51,10.100.102.12,443,54657,6,66,0,2026-08-13T17:25:24.417228
31.13.86.51,10.100.102.12,443,54657,6,245,0,2026-08-13T17:25:24.417259
31.13.86.51,10.100.102.12,443,54657,6,146,0,2026-08-13T17:25:24.417270
10.100.102.12,31.13.86.51,54657,443,6,66,0,2026-08-13T17:25:24.417290
10.100.102.12,31.13.86.51,54657,443,6,97,0,2026-08-13T17:25:24.417300
31.13.86.51,10.100.102.12,443,54657,6,110,0,2026-08-13T17:25:24.417309
10.100.102.12,31.13.86.51,54657,443,6,66,0,2026-08-13T17:25:24.417318
31.13.86.51,10.100.102.12,443,54657,6,519,0,2026-08-13T17:25:25.418206
10.100.102.12,31.13.86.51,54657,443,6,66,0,2026-08-13T17:25:25.418246
10.100.102.12,31.13.86.51,54657,443,6,105,0,2026-08-13T17:25:25.418309
10.100.102.12,31.13.86.51,54657,443,6,90,0,2026-08-13T17:25:25.418330
10.100.102.12,31.13.86.51,54657,443,6,66,0,2026-08-13T17:25:25.418346
10.100.102.12,136.243.65.17,61711,443,6,54,0,2026-08-13T17:25:25.418360
31.13.86.51,10.100.102.12,443,54657,6,66,0,2026-08-13T17:25:25.418391
31.13.86.51,10.100.102.12,443,54657,6,105,0,2026-08-13T17:25:25.418415
10.100.102.12,31.13.86.51,54657,443,6,54,0,2026-08-13T17:25:25.418431
31.13.86.51,10.100.102.12,443,54657,6,90,0,2026-08-13T17:25:25.418446
31.13.86.51,10.100.102.12,443,54657,6,66,0,2026-08-13T17:25:25.418460
10.100.102.12,31.13.86.51,54657,443,6,54,0,2026-08-13T17:25:25.418475
10.100.102.12,31.13.86.51,54657,443,6,54,0,2026-08-13T17:25:25.418489
10.100.102.12,93.123.102.177,61576,443,6,54,0,2026-08-13T17:25:25.418503
10.100.102.7,224.0.0.251,5353,5353,17,309,0,2026-08-13T17:25:25.418518
136.243.65.17,10.100.102.12,443,61711,6,66,0,2026-08-13T17:25:25.418546
10.100.102.12,93.123.102.177,61576,443,6,54,0,2026-08-13T17:25:25.418574
93.123.102.177,10.100.102.12,443,61576,6,66,0,2026-08-13T17:25:25.418590
93.123.102.177,10.100.102.12,443,61576,6,278,0,2026-08-13T17:25:25.418605
10.100.102.12,93.123.102.177,61576,443,6,66,0,2026-08-13T17:25:25.418621
10.100.102.12,93.123.102.177,61576,443,6,107,0,2026-08-13T17:25:25.418644
10.100.102.7,224.0.0.251,5353,5353,17,309,0,2026-08-13T17:25:25.418660
93.123.102.177,10.100.102.12,443,61576,6,66,0,2026-08-13T17:25:25.418675
10.100.102.12,10.100.102.1,57580,53,17,97,0,2026-08-13T17:25:25.418689
10.100.102.1,10.100.102.12,53,57580,17,174,0,2026-08-13T17:25:25.418704
10.100.102.12,4.207.44.76,61752,443,6,78,1,2026-08-13T17:25:25.418718
4.207.44.76,10.100.102.12,443,61752,6,74,1,2026-08-13T17:25:25.418749
10.100.102.12,4.207.44.76,61752,443,6,66,0,2026-08-13T17:25:25.418765
10.100.102.12,4.207.44.76,61752,443,6,583,0,2026-08-13T17:25:25.418780
10.100.102.12,10.100.102.1,18964,53,17,92,0,2026-08-13T17:25:25.418794
10.100.102.12,10.100.102.1,6415,53,17,92,0,2026-08-13T17:25:25.418809
10.100.102.12,4.150.223.104,61739,443,6,184,0,2026-08-13T17:25:25.418823
10.100.102.12,4.150.223.104,61739,443,6,105,0,2026-08-13T17:25:25.418837
10.100.102.12,4.150.223.104,61739,443,6,1334,0,2026-08-13T17:25:25.418852
10.100.102.12,4.150.223.104,61739,443,6,1334,0,2026-08-13T17:25:25.418876
10.100.102.12,4.150.223.104,61739,443,6,286,0,2026-08-13T17:25:25.418901
10.100.102.1,10.100.102.12,53,18964,17,262,0,2026-08-13T17:25:25.418932
10.100.102.1,10.100.102.12,53,6415,17,217,0,2026-08-13T17:25:25.418948
10.100.102.7,224.0.0.251,5353,5353,17,309,0,2026-08-13T17:25:25.418963
10.100.102.7,224.0.0.251,5353,5353,17,236,0,2026-08-13T17:25:25.418990
10.100.102.12,4.207.44.76,61753,443,6,78,1,2026-08-13T17:25:25.419017
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:25.419032
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:25.419046
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:25.419060
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:25.419074
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:25.419088
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:25.419114
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:25.419130
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:25.419144
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:25.419158
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:25.419173
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:25.419187
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:25.419253
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:25.419306
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:25.419326
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:25.419352
93.123.102.177,10.100.102.12,443,61576,6,253,0,2026-08-13T17:25:25.419390
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:25.419406
10.100.102.12,93.123.102.177,61576,443,6,66,0,2026-08-13T17:25:25.419420
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:25.419435
4.207.44.76,10.100.102.12,443,61752,6,165,0,2026-08-13T17:25:25.419449
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:25.419464
10.100.102.12,4.207.44.76,61752,443,6,66,0,2026-08-13T17:25:25.419478
10.100.102.12,4.207.44.76,61752,443,6,503,0,2026-08-13T17:25:25.419498
136.243.65.17,10.100.102.12,443,61711,6,639,0,2026-08-13T17:25:25.419514
136.243.65.17,10.100.102.12,443,61711,6,1506,0,2026-08-13T17:25:25.419528
10.100.102.12,136.243.65.17,61711,443,6,78,0,2026-08-13T17:25:25.419560
10.100.102.12,136.243.65.17,61711,443,6,66,0,2026-08-13T17:25:25.419597
4.207.44.76,10.100.102.12,443,61753,6,74,1,2026-08-13T17:25:25.419612
10.100.102.12,4.207.44.76,61753,443,6,66,0,2026-08-13T17:25:25.419627
10.100.102.12,4.207.44.76,61753,443,6,583,0,2026-08-13T17:25:25.419641
10.100.102.3,10.100.102.255,9431,9431,17,116,0,2026-08-13T17:25:25.419655
10.100.102.12,10.100.102.9,61722,8009,6,176,0,2026-08-13T17:25:25.419670
10.100.102.9,10.100.102.12,8009,61722,6,176,0,2026-08-13T17:25:25.419684
4.150.223.104,10.100.102.12,443,61739,6,66,0,2026-08-13T17:25:25.419698
4.150.223.104,10.100.102.12,443,61739,6,78,0,2026-08-13T17:25:25.419723
4.150.223.104,10.100.102.12,443,61739,6,66,0,2026-08-13T17:25:25.419754
10.100.102.12,10.100.102.9,61722,8009,6,66,0,2026-08-13T17:25:25.419770
10.100.102.12,4.150.223.104,61739,443,6,1334,0,2026-08-13T17:25:25.419793
4.150.223.104,10.100.102.12,443,61739,6,105,0,2026-08-13T17:25:25.419809
10.100.102.12,4.150.223.104,61739,443,6,66,0,2026-08-13T17:25:25.419823
4.207.44.76,10.100.102.12,443,61752,6,1506,0,2026-08-13T17:25:25.419837
4.207.44.76,10.100.102.12,443,61752,6,1506,0,2026-08-13T17:25:25.419851
4.207.44.76,10.100.102.12,443,61752,6,1506,0,2026-08-13T17:25:25.419865
4.207.44.76,10.100.102.12,443,61752,6,1506,0,2026-08-13T17:25:25.419879
4.207.44.76,10.100.102.12,443,61752,6,946,0,2026-08-13T17:25:25.419893
10.100.102.12,4.207.44.76,61752,443,6,66,0,2026-08-13T17:25:25.419924
10.100.102.12,4.207.44.76,61752,443,6,78,0,2026-08-13T17:25:25.419940
10.100.102.12,4.207.44.76,61752,443,6,66,0,2026-08-13T17:25:25.419954
10.100.102.12,4.207.44.76,61752,443,6,66,0,2026-08-13T17:25:25.420117
10.100.102.12,4.207.44.76,61752,443,6,66,0,2026-08-13T17:25:25.420786
10.100.102.12,4.207.44.76,61752,443,6,1334,0,2026-08-13T17:25:25.420876
10.100.102.12,4.207.44.76,61752,443,6,978,0,2026-08-13T17:25:25.420892
4.207.44.76,10.100.102.12,443,61753,6,165,0,2026-08-13T17:25:25.420904
10.100.102.12,4.207.44.76,61753,443,6,66,0,2026-08-13T17:25:25.420916
10.100.102.12,4.207.44.76,61753,443,6,503,0,2026-08-13T17:25:25.420927
93.123.102.177,10.100.102.12,443,61576,6,211,0,2026-08-13T17:25:25.420976
10.100.102.12,93.123.102.177,61576,443,6,66,0,2026-08-13T17:25:25.421014
10.100.102.7,224.0.0.251,5353,5353,17,100,0,2026-08-13T17:25:25.421027
10.100.102.12,10.100.102.9,61722,8009,6,54,0,2026-08-13T17:25:25.421066
10.100.102.12,224.0.0.251,5353,5353,17,428,0,2026-08-13T17:25:25.421079
4.207.44.76,10.100.102.12,443,61752,6,66,0,2026-08-13T17:25:25.421099
10.100.102.9,10.100.102.12,8009,61722,6,66,0,2026-08-13T17:25:25.421112
4.207.44.76,10.100.102.12,443,61752,6,169,0,2026-08-13T17:25:25.421123
10.100.102.12,4.207.44.76,61752,443,6,66,0,2026-08-13T17:25:25.421135
4.207.44.76,10.100.102.12,443,61752,6,530,0,2026-08-13T17:25:25.421146
10.100.102.12,4.207.44.76,61752,443,6,66,0,2026-08-13T17:25:25.421167
10.100.102.12,4.207.44.76,61752,443,6,90,0,2026-08-13T17:25:25.421179
10.100.102.12,4.207.44.76,61752,443,6,66,0,2026-08-13T17:25:25.421190
4.150.223.104,10.100.102.12,443,61739,6,78,0,2026-08-13T17:25:25.421201
4.207.44.76,10.100.102.12,443,61753,6,1506,0,2026-08-13T17:25:25.421217
4.207.44.76,10.100.102.12,443,61753,6,1506,0,2026-08-13T17:25:25.421230
