src_ip,dst_ip,src_port,dst_port,protocol,length,is_syn,timestamp
10.100.102.7,10.100.102.12,5353,5353,17,86,0,2026-08-13T14:08:17.410316
10.100.102.7,224.0.0.251,5353,5353,17,100,0,2026-08-13T14:08:17.410409
23.82.31.238,10.100.102.12,443,59892,6,66,0,2026-08-13T14:08:17.410491
10.100.102.12,10.100.102.7,5353,5353,17,387,0,2026-08-13T14:08:17.410514
104.46.162.229,10.100.102.12,443,60674,6,66,0,2026-08-13T14:08:17.410667
17.248.213.67,10.100.102.12,443,49819,17,63,0,2026-08-13T14:08:17.410691
17.248.213.67,10.100.102.12,443,49819,17,63,0,2026-08-13T14:08:17.410710
10.100.102.12,17.248.213.67,49819,443,17,89,0,2026-08-13T14:08:17.410729
93.123.102.229,10.100.102.12,443,59898,6,234,0,2026-08-13T14:08:17.410765
10.100.102.12,93.123.102.229,59898,443,6,66,0,2026-08-13T14:08:17.410783
142.250.75.202,10.100.102.12,443,60475,17,120,0,2026-08-13T14:08:17.410808
172.217.113.4,10.100.102.12,443,60578,6,187,0,2026-08-13T14:08:17.410826
10.100.102.12,172.217.113.4,60578,443,6,66,0,2026-08-13T14:08:17.410844
10.100.102.12,142.250.75.202,60475,443,17,75,0,2026-08-13T14:08:17.410861
93.123.102.229,10.100.102.12,443,59898,6,246,0,2026-08-13T14:08:17.410879
10.100.102.12,93.123.102.229,59898,443,6,66,0,2026-08-13T14:08:17.410896
10.100.102.7,224.0.0.251,5353,5353,17,233,0,2026-08-13T14:08:17.410927
10.100.102.12,172.217.113.4,60578,443,6,54,0,2026-08-13T14:08:17.410956
172.217.113.4,10.100.102.12,443,60578,6,66,0,2026-08-13T14:08:17.410973
17.248.213.67,10.100.102.12,443,49819,17,63,0,2026-08-13T14:08:17.410991
17.248.213.67,10.100.102.12,443,49819,17,63,0,2026-08-13T14:08:17.411013
10.100.102.12,17.248.213.67,49819,443,17,91,0,2026-08-13T14:08:17.411031
10.100.102.7,224.0.0.251,5353,5353,17,233,0,2026-08-13T14:08:17.411048
10.100.102.12,93.123.102.229,59898,443,6,54,0,2026-08-13T14:08:17.411075
93.123.102.229,10.100.102.12,443,59898,6,66,0,2026-08-13T14:08:17.411093
172.217.114.4,10.100.102.12,443,60630,6,187,0,2026-08-13T14:08:17.411122
10.100.102.12,172.217.114.4,60630,443,6,66,0,2026-08-13T14:08:17.411139
10.100.102.12,172.217.114.4,60630,443,6,54,0,2026-08-13T14:08:17.411157
172.217.114.4,10.100.102.12,443,60630,6,66,0,2026-08-13T14:08:17.411174
10.100.102.3,10.100.102.255,9431,9431,17,116,0,2026-08-13T14:08:17.411198
10.100.102.7,224.0.0.251,5353,5353,17,233,0,2026-08-13T14:08:17.411222
10.100.102.7,224.0.0.251,5353,5353,17,236,0,2026-08-13T14:08:17.411249
10.100.102.7,224.0.0.251,5353,5353,17,100,0,2026-08-13T14:08:18.411143
10.100.102.12,224.0.0.251,5353,5353,17,428,0,2026-08-13T14:08:18.411227
10.100.102.7,224.0.0.251,5353,5353,17,422,0,2026-08-13T14:08:18.411284
17.248.213.67,10.100.102.12,443,49819,17,1378,0,2026-08-13T14:08:18.411314
10.100.102.12,17.248.213.67,49819,443,17,91,0,2026-08-13T14:08:18.411332
